,api,well_type,rotary_air_drilling,rotary_mud_drilling,days_passed_since_drilling_start_date,days_passed_since_drilling_complete_date,ground_water_depth_ft,depth_of_deepest_fresh_ground_water_ft,true_vertical_depth_ft,surface_elevation_ft,total_depth_by_driller_ft,total_depth_by_logger_ft,cement_returned_on_surface_casing,cement_returned_on_intermediate_casing,cement_type_conductor_casing_includes Class A,cement_type_conductor_casing_includes Class G,cement_type_conductor_casing_includes Class H,cement_type_conductor_casing_includes Block,cement_type_conductor_casing_includes No Cement,cement_type_conductor_casing_Other,cement_total_amount_conductor_casing_sks,cement_slurry_temperature_fahrenheit_conductor_casing,cement_WOC_Hrs_conductor_casing,cement_Wt_PPG_conductor_casing,cement_Yld_ft3/sk_conductor_casing,gas_block_documented_conductor_casing,cement_type_surface_casing_includes Class A,cement_type_surface_casing_includes Class H,cement_type_surface_casing_includes Block,cement_type_surface_casing_includes Bondcem,cement_type_surface_casing_includes Type 1,cement_type_surface_casing_includes Neocem,cement_type_surface_casing_includes No Cement,cement_type_surface_casing_Other,cement_total_amount_surface_casing_sks,cement_slurry_temperature_fahrenheit_surface_casing,cement_WOC_Hrs_surface_casing,cement_Wt_PPG_surface_casing,cement_Yld_ft3/sk_surface_casing,gas_block_documented_surface_casing,cement_type_intermediate_casing_includes Class A,cement_type_intermediate_casing_includes Class H,cement_type_intermediate_casing_includes Type 1,cement_type_intermediate_casing_includes Extendacem,cement_type_intermediate_casing_includes Bondcem,cement_type_intermediate_casing_includes Standard,cement_type_intermediate_casing_includes Premium,cement_type_intermediate_casing_includes Gasstop,cement_type_intermediate_casing_includes Block,cement_type_intermediate_casing_includes No Cement,cement_type_intermediate_casing_Other,cement_total_amount_intermediate_casing_sks,cement_slurry_temperature_fahrenheit_intermediate_casing,cement_WOC_Hrs_intermediate_casing,cement_Wt_PPG_intermediate_casing,cement_Yld_ft3/sk_intermediate_casing,gas_block_documented_intermediate_casing,cement_type_production_casing_includes Class A,cement_type_production_casing_includes Class H,cement_type_production_casing_includes Swiftseal,cement_type_production_casing_includes Fraccem,cement_type_production_casing_includes Poz,cement_type_production_casing_includes Expandacem,cement_type_production_casing_includes Varicem,cement_type_production_casing_includes Flexseal,cement_type_production_casing_includes Block,cement_type_production_casing_includes Halcem,cement_type_production_casing_includes No Cement,cement_type_production_casing Other,cement_combined_amount_production_casing_sks,cement_lead_slurry_temperature_fahrenheit_production_casing,cement_lead_WOC_Hrs_production_casing,cement_lead_Wt_PPG_production_casing,cement_lead_Yld_ft3/sk_production_casing,cement_tail_slurry_temperature_fahrenheit_production_casing,cement_tail_WOC_Hrs_production_casing,cement_tail_Wt_PPG_production_casing,cement_tail_Yld_ft3/sk_production_casing,gas_block_documented_production_casing,well_operator_encoded,thread_weld_rank_1_casing,grade_casing_tubing_type_rank_1_casing,country_of_origin_rank_1_casing,Recycled_rank_1_casing,hole_size_inch_rank_1_casing,pipe_size_inch_rank_1_casing,weight_lbs/ft_rank_1_casing,amount_in_well_ft_rank_1_casing,days_passed_since_date_run_rank_1_casing,thread_weld_rank_2_casing,grade_casing_tubing_type_rank_2_casing,country_of_origin_rank_2_casing,Recycled_rank_2_casing,hole_size_inch_rank_2_casing,pipe_size_inch_rank_2_casing,weight_lbs/ft_rank_2_casing,amount_in_well_ft_rank_2_casing,days_passed_since_date_run_rank_2_casing,thread_weld_rank_3_casing,grade_casing_tubing_type_rank_3_casing,country_of_origin_rank_3_casing,Recycled_rank_3_casing,hole_size_inch_rank_3_casing,pipe_size_inch_rank_3_casing,weight_lbs/ft_rank_3_casing,amount_in_well_ft_rank_3_casing,days_passed_since_date_run_rank_3_casing,thread_weld_rank_4_casing,grade_casing_tubing_type_rank_4_casing,country_of_origin_rank_4_casing,Recycled_rank_4_casing,hole_size_inch_rank_4_casing,pipe_size_inch_rank_4_casing,weight_lbs/ft_rank_4_casing,amount_in_well_ft_rank_4_casing,days_passed_since_date_run_rank_4_casing,latitude,longitude,well_status,well_configuration,scp_and_or_cvf
0,37-015-22591,Gas,True,True,3868.0,3814.0,,764.0,8516.0,1883.0,14321.0,,Yes,Yes,True,False,False,False,False,False,57.0,84.0,8.0,15.6,1.2,False,False,True,False,False,False,False,False,False,1030.0,79.0,8.0,15.6,1.22,True,False,True,False,False,False,False,False,False,False,False,False,960.0,91.0,8.0,15.6,1.22,True,False,True,False,False,False,False,False,False,False,False,False,False,2300.0,85.0,8.0,15.3,1.35,,,15.3,1.27,True,C,W,K-55,CA,Y,24.0,20.0,94.0,76.0,3866.0,STC,J-55,US,Y,17.5,13.375,54.5,978.0,3829.0,LTC,J-55,US,Y,12.25,9.625,40.0,2283.0,3825.0,CDC,P-110,US,Y,8.5,5.5,20.0,14321.0,3812.0,41.560381,-76.263944,Active,Horizontal,True
1,37-081-20344,Gas,True,True,4854.0,4762.0,,190.0,,2085.0,13007.0,,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,338.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,459.0,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,2216.0,,,,,,,,,True,L,,,,,20.0,20.0,,40.0,4854.0,STC,J-55,,,17.5,13.375,54.5,321.0,4841.0,Other,J-55,,,12.375,9.625,36.0,1030.0,4836.0,Other,P-110,,,8.5,5.5,20.0,12954.0,4763.0,41.590508,-76.849378,Active,Horizontal,True
2,37-015-21980,Gas,True,True,4453.0,4417.0,,320.0,,1479.0,13603.0,,Yes,Yes,False,False,True,False,False,False,211.0,,,,,False,False,False,False,False,False,False,False,True,500.0,,,,,True,False,False,False,False,False,False,True,False,False,False,False,850.0,,,,,True,False,True,False,False,False,False,False,False,False,False,False,False,1550.0,,,,,,,,,True,C,,,,,28.0,20.0,,85.0,4453.0,STC,J-55,,,17.5,13.375,54.5,511.0,4439.0,LTC,P-110,,,12.25,9.625,40.0,1996.0,4436.0,CDC,P-110,,,7.875,5.5,20.0,13603.0,4415.0,41.639553,-76.3952,Active,Horizontal,True
3,37-015-21316,Gas,True,True,4770.0,4712.0,,,,1318.0,13493.0,5920.0,Yes,Yes,True,False,False,False,False,False,135.0,,,,,False,True,False,False,False,False,False,False,False,688.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,856.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,1908.0,,,,,,,,,True,C,,,,,24.0,20.0,,85.0,4776.0,STC,J-55,,,17.5,13.375,54.5,757.0,4764.0,LTC,J-55,,,12.25,9.625,40.0,2500.0,4759.0,CDC,P-110,,,7.875,5.5,20.0,13493.0,4709.0,41.720186,-76.283864,Active,Horizontal,True
4,37-015-23158,Gas,True,True,3165.0,3140.0,,1335.0,8306.0,2020.0,15327.0,,Yes,Yes,True,False,False,False,False,False,100.0,86.0,8.0,15.6,1.2,False,False,True,False,False,False,False,False,False,890.0,60.0,8.0,15.6,1.24,False,False,True,False,False,False,False,False,False,False,False,False,800.0,65.0,8.0,15.6,1.24,False,False,True,False,False,False,False,False,False,False,False,False,False,2590.0,77.0,8.0,15.3,1.35,77.0,8.0,15.3,1.26,False,C,W,A-500,CA,Y,26.0,20.0,56.0,100.0,3163.0,Other,J-55,US,Y,17.5,13.375,54.5,814.0,3151.0,LTC,J-55,US,Y,12.25,9.625,40.0,2014.0,3149.0,CDC,P-110,US,Y,8.75,5.5,20.0,15218.0,3149.0,41.585831,-76.507014,Active,Horizontal,False
5,37-015-21961,Gas,True,True,4224.0,4173.0,177.0,250.0,6054.0,1051.0,10777.0,,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,370.0,,8.0,15.8,2.31,False,True,False,False,False,False,False,False,False,False,False,False,310.0,,8.0,15.8,2.31,False,True,False,False,False,False,False,False,False,False,False,False,False,1838.0,,8.0,15.2,1.29,,,,,False,K,W,F-25,,,20.0,20.0,94.0,125.0,4224.0,T,H-40,,,17.5,13.375,48.0,744.0,4199.0,T,J-55,,,12.25,9.625,36.0,1670.0,4197.0,T,P-110,,,8.75,5.5,20.0,10777.0,4171.0,41.787583,-76.17885,Active,Horizontal,False
6,37-015-21975,Gas,True,True,4313.0,4271.0,,638.0,7515.0,1170.0,12612.0,,Yes,Yes,True,False,False,False,False,False,109.0,,8.0,,,False,True,False,False,False,False,False,False,False,780.0,60.0,8.0,15.6,1.2,True,False,False,False,False,False,True,False,False,False,False,False,840.0,60.0,8.0,15.6,1.2,True,False,False,False,False,False,False,False,False,False,False,False,True,2150.0,61.0,8.0,15.6,1.2,,,,,True,C,,,,,26.0,20.0,,64.0,4313.0,STC,J-55,,,17.5,13.375,54.5,736.0,4285.0,LTC,J-55,,,12.25,9.625,40.0,2000.0,4281.0,CDC,P-110,,,8.5,5.5,20.0,12612.0,4269.0,41.574,-76.230817,Active,Horizontal,False
7,37-015-20360,Gas,True,True,5258.0,5193.0,,,,1447.0,8905.0,5261.0,Yes,,False,True,False,False,False,False,135.0,,,,,False,False,False,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,565.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,1758.0,,,,,,,,,False,C,,,,,24.0,20.0,,80.0,5266.0,No matching casing,No matching casing,No matching casing,No matching casing,,,,0.0,,LTC,,,,12.25,9.625,40.0,1027.0,5256.0,Other,,,,8.75,5.5,20.0,8905.0,5191.0,41.726872,-76.70025,Active,Horizontal,False
8,37-015-22633,Gas,True,True,3868.0,3767.0,,764.0,8703.0,1833.0,16318.0,,Yes,Yes,True,False,False,False,False,False,70.0,71.0,8.0,15.6,1.21,False,False,True,False,False,False,False,False,False,1030.0,91.0,8.0,15.6,1.22,True,False,True,False,False,False,False,False,False,False,False,False,920.0,80.0,8.0,15.6,1.22,True,False,True,False,False,False,False,False,False,False,False,False,False,2680.0,70.0,8.0,15.3,1.35,,,,,True,C,W,J-55,CA,Y,24.0,20.0,94.0,77.0,3866.0,STC,J-55,US,Y,17.5,13.375,54.5,983.0,3788.0,LTC,J-55,US,Y,12.25,9.625,40.0,2270.0,3785.0,CDC,P-110,US,Y,8.5,5.5,20.0,16315.0,3765.0,41.560303,-76.263978,Active,Horizontal,True
9,37-015-20419,Gas,True,True,5033.0,1360.0,,,,1158.0,12788.0,6573.0,Yes,,False,True,False,False,False,False,135.0,,,,,False,False,False,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,480.0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,1913.0,,,,,,,,,False,C,,,,,24.0,20.0,,80.0,5043.0,No matching casing,No matching casing,No matching casing,No matching casing,,,,0.0,,LTC,,,,12.25,9.625,40.0,1032.0,5030.0,Other,,,,8.5,5.5,20.0,12788.0,5011.0,41.657983,-76.275447,Active,Horizontal,True
